163.com, 123.58.180.7
2345.com, 14.29.109.15
360.cn, 36.99.170.84
4399.com, 129.211.129.109
4shared.com, 204.155.146.95
56.com, 183.232.65.145
7k7k.com, 157.185.156.194
about.com, 151.101.194.137
adobe.com, 192.147.130.204
alibaba.com, 205.204.101.142
alipay.com, 110.75.129.5
amazon.co.jp, 52.119.164.121
amazon.com, 205.251.242.103
ameblo.jp, 151.101.129.83
andysayler.com, 159.89.253.85
answers.com, 151.101.192.203
aol.com, 98.136.103.23
apple.com, 17.253.144.10
ask.com, 151.101.42.114
baidu.com, 220.181.38.148
bbc.co.uk, 151.101.128.81
bing.com, 13.107.21.200
blogger.com, 172.217.0.41
blogspot.com, 172.217.6.41
cnet.com, 35.190.79.82
cnn.com, 151.101.1.67
craigslist.org, 208.82.237.129
dailymotion.com, 195.8.215.136
daum.net, 203.133.167.81
ebay.com, 66.135.195.175
ebay.de, 66.135.195.175
ehow.com, 104.84.129.74
facebook.com, 31.13.70.36
fc2.com, 199.48.210.152
flickr.com, 13.226.239.143
go.com, 23.236.60.174
goo.ne.jp, 114.179.184.93
hao123.com, 106.120.159.68
hotfile.com, 18.207.9.28
hotmail.com, 204.79.197.212
hp.com, 15.72.164.74
ifeng.com, 123.103.122.24
imageshack.us, 208.94.3.18
imdb.com, 52.94.228.167
jp.msn.com, 13.88.15.24
ku6.com, 117.50.1.222
kugou.com, 183.131.48.92
linkedin.com, 108.174.10.10
live.com, 204.79.197.212
livedoor.jp, 203.104.153.16
mail.ru, 217.69.139.200
mediafire.com, 104.16.203.237
microsoft.com, 40.112.72.205
mozilla.com, 63.245.208.194
msn.com, 13.82.28.61
myspace.com, 63.135.90.70
mywebsearch.com, 34.102.244.163
naver.com, 125.209.222.141
nifty.com, 222.158.213.148
odnoklassniki.ru, 217.20.147.1
orkut.com, 216.239.34.21
orkut.com.br, 132.148.40.250
paipai.com, 106.39.169.133
partypoker.com, 195.72.135.91
paypal.com, 64.4.250.36
pconline.com.cn, 219.136.244.85
photobucket.com, 54.192.137.61
pps.tv, 116.211.199.231
qiyi.com, 111.206.13.63
qq.com, 125.39.52.26
rakuten.co.jp, 133.237.16.234
rapidshare.com, 0.0.0.0
renren.com, 120.133.2.242
sdjjdsaf.com 
seesaa.net, 59.106.28.142
sina.com.cn, 123.126.55.41
skype.com, 40.115.34.155
softonic.com, 35.227.233.104
sogou.com, 118.191.216.42
sohu.com, 211.159.191.18
soku.com, 106.11.186.25
soso.com, 118.191.216.42
taobao.com, 140.205.220.96
tianya.cn, 124.225.65.154
tmall.com, 140.205.94.193
tudou.com, 106.11.43.107
twitter.com, 104.244.42.193
vkontakte.ru, 87.240.190.72
walmart.com, 161.170.232.170
weather.com, 104.86.5.239
wikipedia.org, 198.35.26.96
windows.com, 40.112.72.205
wmfo.org, 23.92.21.128
wordpress.com, 192.0.78.17
xunlei.com, 39.104.2.218
yahoo.co.jp, 182.22.59.229
yahoo.com, 98.137.11.164
yandex.ru, 5.255.255.77
youdao.com, 103.72.47.249
youku.com, 106.11.43.107
youtube.com, 172.217.6.46
zynga.com, 13.226.214.41
